NomeProduto,Categoria,Preco
Escova de Cabelo,Perfumaria,72.92
Escova de Dente,Perfumaria,93.48
Roupas de Compressão,Perfumaria,25.04
Cotonetes,Perfumaria,77.16
Suplemento de Ômega 3,Vitaminas,20.6
Pomada Antisséptica,Perfumaria,31.72
Creme Anti-idade,Perfumaria,54.02
Pomada para Artrose,Remédios,49.68
Colírio,Remédios,56.93
Antibiótico,Remédios,85.45
Fita Adesiva,Perfumaria,64.65
Suplemento de Vitamina D,Vitaminas,70.45
Protetor Solar,Perfumaria,60.96
Roupas de Compressão,Perfumaria,9.58
Colírio,Remédios,37.71
Escova de Cabelo,Perfumaria,75.49
Protetor Labial,Perfumaria,14.67
Band-aid,Perfumaria,29.72
Fraldas Descartáveis,Perfumaria,9.55
Pomada Antisséptica,Perfumaria,54.6
Termômetro de Infravermelho,Perfumaria,97.29
Pasta de Dente,Perfumaria,91.72
Suplemento de Cálcio,Vitaminas,12.92
Termômetro Digital,Perfumaria,73.05
Xarope para Tosse,Remédios,90.72
Máscara de Cílios,Perfumaria,12.77
Creme Anti-idade,Perfumaria,5.12
Fraldas Descartáveis,Perfumaria,39.41
Suplemento de Cálcio,Vitaminas,47.83
Paracetamol 500mg,Remédios,73.22
Fraldas Descartáveis,Perfumaria,95.66
Lenços Umedecidos,Perfumaria,84.62
Colírio,Remédios,51.35
Suplemento de Magnésio,Vitaminas,92.48
Soro Fisiológico,Remédios,79.72
Lenços Umedecidos,Perfumaria,50.09
Suplemento de Ômega 3,Vitaminas,75.11
Inalador,Remédios,62.48
Antifúngico,Remédios,10.62
Anti-inflamatório,Remédios,30.45
Band-aid,Perfumaria,53.96
Compressa Fria,Perfumaria,50.12
Creme Hidratante,Perfumaria,31.13
Pasta de Dente,Perfumaria,95.73
Xarope para Tosse,Remédios,91.33
Creme para as Mãos,Perfumaria,44.19
Suplemento de Vitamina D,Vitaminas,40.61
Antialérgico,Remédios,92.78
Band-aid,Perfumaria,98.82
Soro Fisiológico,Remédios,11.38
Antialérgico,Remédios,85.42
Pomada para Artrose,Remédios,51.16
Colágeno em Pó,Vitaminas,42.65
Protetor Solar,Perfumaria,47.23
Inalador,Remédios,45.22
Suplemento de Ômega 3,Vitaminas,90.13
Aspirina 500mg,Remédios,44.6
Escova de Dente,Perfumaria,89.19
Suplemento de Vitamina D,Vitaminas,75.03
Máscara de Cílios,Perfumaria,21.18
Pomada Antisséptica,Perfumaria,59.45
Desodorante,Perfumaria,20.93
Soro Fisiológico,Remédios,6.83
Xarope para Tosse,Remédios,11.99
Escova de Dente,Perfumaria,79.51
Ibuprofeno 200mg,Remédios,90.96
Suplemento de Vitamina D,Vitaminas,65.13
Pomada para Artrose,Remédios,24.65
Pomada para Assaduras,Perfumaria,51.14
Pomada Antisséptica,Perfumaria,32.67
Protetor Solar,Perfumaria,98.67
Colírio,Remédios,94.93
Máscara de Cílios,Perfumaria,22.11
Pomada Antisséptica,Perfumaria,37.03
Pomada para Assaduras,Perfumaria,86.24
Escova de Dente,Perfumaria,98.03
Fita Adesiva,Perfumaria,86.65
Escova de Dente,Perfumaria,48.0
Lentes de Contato,Perfumaria,18.59
Pasta de Dente,Perfumaria,46.24
Vitamina C 1000mg,Vitaminas,5.65
Fita Adesiva,Perfumaria,64.1
Fita Adesiva,Perfumaria,10.7
Anti-inflamatório,Remédios,74.63
Roupas de Compressão,Perfumaria,89.41
Desodorante,Perfumaria,41.9
Creme Anti-idade,Perfumaria,72.04
Creme Anti-idade,Perfumaria,58.67
Colírio,Remédios,50.65
Suplemento de Cálcio,Vitaminas,37.14
Xarope para Tosse,Remédios,62.74
Ibuprofeno 200mg,Remédios,63.62
Suplemento de Magnésio,Vitaminas,43.01
Protetor Solar,Perfumaria,88.18
Band-aid,Perfumaria,50.28
Protetor Solar,Perfumaria,61.27
Termômetro de Infravermelho,Perfumaria,95.8
Pomada para Assaduras,Perfumaria,22.67
Pomada Antisséptica,Perfumaria,47.0
Gel Antisséptico,Perfumaria,16.0
Roupas de Compressão,Perfumaria,50.48
Lenços Umedecidos,Perfumaria,8.78
Antifúngico,Remédios,39.45
Pomada Antisséptica,Perfumaria,66.12
Suplemento de Ômega 3,Vitaminas,18.61
Pomada para Artrose,Remédios,43.04
Pomada para Artrose,Remédios,99.05
Lenços Umedecidos,Perfumaria,14.9
Escova de Cabelo,Perfumaria,89.1
Aspirina 500mg,Remédios,93.37
Antialérgico,Remédios,83.44
Pasta de Dente,Perfumaria,65.18
Colírio,Remédios,55.41
Antibiótico,Remédios,44.72
Aspirina 500mg,Remédios,91.89
Suplemento de Magnésio,Vitaminas,46.47
Protetor Labial,Perfumaria,89.81
Fita Adesiva,Perfumaria,81.79
Compressa Fria,Perfumaria,16.9
Colágeno em Pó,Vitaminas,6.26
Protetor Solar,Perfumaria,22.36
Escova de Cabelo,Perfumaria,85.62
Ibuprofeno 200mg,Remédios,29.59
Creme Anti-idade,Perfumaria,18.32
Suplemento de Magnésio,Vitaminas,35.72
Soro Fisiológico,Remédios,19.16
Suplemento de Magnésio,Vitaminas,93.32
Pasta de Dente,Perfumaria,48.88
Suplemento de Vitamina D,Vitaminas,41.41
Suplemento de Vitamina D,Vitaminas,67.16
Gel Antisséptico,Perfumaria,29.27
Ibuprofeno 200mg,Remédios,44.19
Protetor Solar,Perfumaria,43.73
Xarope para Tosse,Remédios,91.63
Lenços Umedecidos,Perfumaria,5.31
Gaze Esterilizada,Perfumaria,13.44
Compressa Fria,Perfumaria,88.26
Fraldas Descartáveis,Perfumaria,97.11
Escova de Cabelo,Perfumaria,75.93
Fita Adesiva,Perfumaria,7.86
Suplemento de Magnésio,Vitaminas,73.12
Pomada para Assaduras,Perfumaria,50.83
Pomada Antisséptica,Perfumaria,68.07
Inalador,Remédios,44.43
Cotonetes,Perfumaria,18.07
Termômetro de Infravermelho,Perfumaria,81.07
Xarope para Tosse,Remédios,93.65
Compressa Fria,Perfumaria,22.37
Inalador,Remédios,96.43
Antiácido,Remédios,87.36
Pomada Antisséptica,Perfumaria,42.14
Escova de Cabelo,Perfumaria,44.81
Pomada para Assaduras,Perfumaria,88.75
Creme Hidratante,Perfumaria,72.75
Inalador,Remédios,47.95
Paracetamol 500mg,Remédios,8.31
Antifúngico,Remédios,9.05
Lenços Umedecidos,Perfumaria,65.63
Termômetro Digital,Perfumaria,70.24
Pomada para Artrose,Remédios,94.48
Paracetamol 500mg,Remédios,20.14
Aspirina 500mg,Remédios,48.17
Suplemento de Ômega 3,Vitaminas,20.46
Escova de Dente,Perfumaria,21.86
Inalador,Remédios,98.57
Creme Hidratante,Perfumaria,68.03
Creme para as Mãos,Perfumaria,35.9
Suplemento de Ômega 3,Vitaminas,8.96
Protetor Labial,Perfumaria,31.47
Termômetro de Infravermelho,Perfumaria,84.85
Colírio,Remédios,68.46
Colírio,Remédios,68.26
Soro Fisiológico,Remédios,31.33
Gaze Esterilizada,Perfumaria,54.13
Inalador,Remédios,56.51
Anti-inflamatório,Remédios,7.56
Creme Anti-idade,Perfumaria,64.85
Gaze Esterilizada,Perfumaria,38.18
Fraldas Descartáveis,Perfumaria,43.44
Xarope para Tosse,Remédios,37.99
Roupas de Compressão,Perfumaria,89.51
Lenços Umedecidos,Perfumaria,46.64
Soro Fisiológico,Remédios,49.51
Antibiótico,Remédios,94.98
Termômetro de Infravermelho,Perfumaria,40.43
Escova de Cabelo,Perfumaria,53.81
Suplemento de Ômega 3,Vitaminas,55.59
Escova de Cabelo,Perfumaria,49.98
Suplemento de Cálcio,Vitaminas,62.86
Creme para as Mãos,Perfumaria,92.26
Vitamina C 1000mg,Vitaminas,58.17
Suplemento de Vitamina D,Vitaminas,80.86
Protetor Labial,Perfumaria,37.35
Fita Adesiva,Perfumaria,69.6
Lentes de Contato,Perfumaria,63.78
Cotonetes,Perfumaria,78.06
Ibuprofeno 200mg,Remédios,22.84
Inalador,Remédios,99.82
Inalador,Remédios,96.46
Pasta de Dente,Perfumaria,84.57
Escova de Cabelo,Perfumaria,25.48
Fita Adesiva,Perfumaria,16.6
Lentes de Contato,Perfumaria,74.59
Termômetro de Infravermelho,Perfumaria,83.55
Ibuprofeno 200mg,Remédios,20.99
Fraldas Descartáveis,Perfumaria,31.68
Antibiótico,Remédios,46.94
Suplemento de Magnésio,Vitaminas,45.91
Creme Anti-idade,Perfumaria,38.49
Paracetamol 500mg,Remédios,39.33
Protetor Solar,Perfumaria,27.77
Pomada para Artrose,Remédios,48.65
Pasta de Dente,Perfumaria,21.33
Termômetro Digital,Perfumaria,76.22
Pomada para Artrose,Remédios,51.97
Creme para as Mãos,Perfumaria,17.05
Cotonetes,Perfumaria,28.88
Roupas de Compressão,Perfumaria,94.32
Inalador,Remédios,45.96
Escova de Dente,Perfumaria,36.44
Termômetro Digital,Perfumaria,71.67
Lentes de Contato,Perfumaria,86.69
Lentes de Contato,Perfumaria,63.04
Escova de Dente,Perfumaria,72.55
Pomada Antisséptica,Perfumaria,6.18
Escova de Dente,Perfumaria,14.07
Pomada Antisséptica,Perfumaria,7.58
Pomada Antisséptica,Perfumaria,65.44
Escova de Dente,Perfumaria,35.12
Cotonetes,Perfumaria,26.23
Creme para as Mãos,Perfumaria,75.13
Inalador,Remédios,95.51
Gel Antisséptico,Perfumaria,10.14
Ibuprofeno 200mg,Remédios,23.11
Paracetamol 500mg,Remédios,51.19
Suplemento de Cálcio,Vitaminas,31.31
Fita Adesiva,Perfumaria,76.67
Máscara de Cílios,Perfumaria,88.36
Pomada Antisséptica,Perfumaria,80.27
Gel Antisséptico,Perfumaria,94.67
Lentes de Contato,Perfumaria,87.0
Compressa Fria,Perfumaria,84.75
Soro Fisiológico,Remédios,51.49
Lentes de Contato,Perfumaria,34.79
Protetor Labial,Perfumaria,49.8
Soro Fisiológico,Remédios,82.97
Creme Anti-idade,Perfumaria,54.54
Máscara de Cílios,Perfumaria,24.25
Pomada para Assaduras,Perfumaria,16.15
Band-aid,Perfumaria,51.71
Máscara de Cílios,Perfumaria,28.7
Gaze Esterilizada,Perfumaria,46.92
Antibiótico,Remédios,5.56
Aspirina 500mg,Remédios,90.09
Desodorante,Perfumaria,58.77
Colírio,Remédios,69.6
Suplemento de Ômega 3,Vitaminas,64.53
Fita Adesiva,Perfumaria,56.94
Gaze Esterilizada,Perfumaria,88.43
Escova de Dente,Perfumaria,9.03
Band-aid,Perfumaria,42.45
Colágeno em Pó,Vitaminas,20.35
Lentes de Contato,Perfumaria,58.07
Aspirina 500mg,Remédios,85.9
Creme para as Mãos,Perfumaria,75.01
Antialérgico,Remédios,42.14
Antialérgico,Remédios,77.79
Fraldas Descartáveis,Perfumaria,6.65
Termômetro Digital,Perfumaria,15.88
Termômetro Digital,Perfumaria,55.07
Fita Adesiva,Perfumaria,78.51
Creme para as Mãos,Perfumaria,94.84
Pomada Antisséptica,Perfumaria,21.22
Pomada Antisséptica,Perfumaria,43.79
Pomada para Artrose,Remédios,12.56
Gel Antisséptico,Perfumaria,86.07
Paracetamol 500mg,Remédios,23.87
Paracetamol 500mg,Remédios,7.14
Fita Adesiva,Perfumaria,77.55
Suplemento de Vitamina D,Vitaminas,62.75
Anti-inflamatório,Remédios,84.64
Termômetro Digital,Perfumaria,43.35
Antibiótico,Remédios,93.94
Roupas de Compressão,Perfumaria,29.47
Creme Hidratante,Perfumaria,86.01
Gaze Esterilizada,Perfumaria,46.92
Pasta de Dente,Perfumaria,94.17
Colírio,Remédios,12.3
Compressa Fria,Perfumaria,71.36
Inalador,Remédios,15.66
Paracetamol 500mg,Remédios,34.01
Termômetro de Infravermelho,Perfumaria,90.2
Antibiótico,Remédios,80.57
Antifúngico,Remédios,87.81
Desodorante,Perfumaria,87.5
Protetor Labial,Perfumaria,25.3
Antiácido,Remédios,53.95
Roupas de Compressão,Perfumaria,88.21
Colágeno em Pó,Vitaminas,11.33
Termômetro Digital,Perfumaria,93.63
Gel Antisséptico,Perfumaria,24.17
Suplemento de Cálcio,Vitaminas,53.43
Pasta de Dente,Perfumaria,43.0
Xarope para Tosse,Remédios,11.56
Aspirina 500mg,Remédios,43.35
Termômetro de Infravermelho,Perfumaria,25.83
Ibuprofeno 200mg,Remédios,82.51
Máscara de Cílios,Perfumaria,9.43
Inalador,Remédios,98.77
Anti-inflamatório,Remédios,22.54
Antibiótico,Remédios,79.66
Suplemento de Magnésio,Vitaminas,41.96
Lentes de Contato,Perfumaria,87.96
Gaze Esterilizada,Perfumaria,59.15
Antiácido,Remédios,10.06
Paracetamol 500mg,Remédios,95.35
Escova de Cabelo,Perfumaria,97.66
Fraldas Descartáveis,Perfumaria,56.96
Xarope para Tosse,Remédios,75.32
Lentes de Contato,Perfumaria,78.08
Fraldas Descartáveis,Perfumaria,9.29
Pomada para Artrose,Remédios,19.91
Gel Antisséptico,Perfumaria,16.1
Vitamina C 1000mg,Vitaminas,75.53
Gel Antisséptico,Perfumaria,80.32
Roupas de Compressão,Perfumaria,30.37
Antiácido,Remédios,93.3
Gel Antisséptico,Perfumaria,23.55
Protetor Solar,Perfumaria,93.57
Gel Antisséptico,Perfumaria,6.22
Colírio,Remédios,82.63
Suplemento de Vitamina D,Vitaminas,50.89
Antifúngico,Remédios,77.32
Gel Antisséptico,Perfumaria,29.03
Paracetamol 500mg,Remédios,16.23
Fita Adesiva,Perfumaria,40.37
Paracetamol 500mg,Remédios,45.65
Creme Anti-idade,Perfumaria,63.94
Lentes de Contato,Perfumaria,29.68
Cotonetes,Perfumaria,44.64
Escova de Dente,Perfumaria,67.58
Pomada para Assaduras,Perfumaria,49.2
Lentes de Contato,Perfumaria,21.37
Creme para as Mãos,Perfumaria,94.93
Suplemento de Cálcio,Vitaminas,23.25
Pomada para Artrose,Remédios,8.08
Gaze Esterilizada,Perfumaria,86.06
Suplemento de Vitamina D,Vitaminas,89.96
Inalador,Remédios,56.56
Suplemento de Cálcio,Vitaminas,88.39
Pasta de Dente,Perfumaria,70.09
Ibuprofeno 200mg,Remédios,90.53
Pomada para Assaduras,Perfumaria,88.03
Pasta de Dente,Perfumaria,98.1
Ibuprofeno 200mg,Remédios,52.82
Máscara de Cílios,Perfumaria,8.38
Antiácido,Remédios,68.0
Cotonetes,Perfumaria,95.01
Suplemento de Vitamina D,Vitaminas,21.68
Antibiótico,Remédios,22.13
Antibiótico,Remédios,70.09
Band-aid,Perfumaria,92.31
Termômetro Digital,Perfumaria,69.0
Desodorante,Perfumaria,33.37
Antibiótico,Remédios,47.39
Vitamina C 1000mg,Vitaminas,14.39
Suplemento de Cálcio,Vitaminas,82.71
Pomada Antisséptica,Perfumaria,91.42
Escova de Dente,Perfumaria,24.93
Creme Hidratante,Perfumaria,48.81
Ibuprofeno 200mg,Remédios,27.02
Paracetamol 500mg,Remédios,69.35
Roupas de Compressão,Perfumaria,29.75
Gel Antisséptico,Perfumaria,88.51
Aspirina 500mg,Remédios,46.94
Escova de Dente,Perfumaria,10.88
Pomada Antisséptica,Perfumaria,99.49
Creme Hidratante,Perfumaria,5.77
Desodorante,Perfumaria,78.54
Cotonetes,Perfumaria,39.45
Pomada para Assaduras,Perfumaria,53.99
Creme para as Mãos,Perfumaria,60.17
Colírio,Remédios,78.74
Lentes de Contato,Perfumaria,85.42
Roupas de Compressão,Perfumaria,81.41
Pasta de Dente,Perfumaria,33.47
Suplemento de Cálcio,Vitaminas,11.54
Ibuprofeno 200mg,Remédios,90.77
Escova de Dente,Perfumaria,32.7
Antiácido,Remédios,82.46
Soro Fisiológico,Remédios,19.33
Xarope para Tosse,Remédios,33.86
Creme para as Mãos,Perfumaria,39.53
Antibiótico,Remédios,93.59
Paracetamol 500mg,Remédios,92.52
Vitamina C 1000mg,Vitaminas,49.98
Escova de Dente,Perfumaria,80.65
Colágeno em Pó,Vitaminas,52.41
Fita Adesiva,Perfumaria,34.35
Termômetro Digital,Perfumaria,6.35
Pomada Antisséptica,Perfumaria,85.26
Escova de Dente,Perfumaria,58.11
Escova de Cabelo,Perfumaria,83.04
Inalador,Remédios,27.26
Pomada para Assaduras,Perfumaria,18.67
Anti-inflamatório,Remédios,52.01
Antifúngico,Remédios,28.41
Aspirina 500mg,Remédios,78.64
Inalador,Remédios,44.89
Pasta de Dente,Perfumaria,38.19
Inalador,Remédios,55.87
Suplemento de Cálcio,Vitaminas,9.29
Gel Antisséptico,Perfumaria,17.9
Pomada para Artrose,Remédios,11.45
Ibuprofeno 200mg,Remédios,22.2
Pomada para Artrose,Remédios,79.93
Ibuprofeno 200mg,Remédios,30.71
Escova de Dente,Perfumaria,83.69
Inalador,Remédios,98.84
Ibuprofeno 200mg,Remédios,81.25
Escova de Cabelo,Perfumaria,67.81
Colírio,Remédios,25.81
Gaze Esterilizada,Perfumaria,46.07
Colágeno em Pó,Vitaminas,12.46
Colírio,Remédios,88.38
Protetor Labial,Perfumaria,46.08
Antialérgico,Remédios,56.56
Pomada para Assaduras,Perfumaria,14.4
Vitamina C 1000mg,Vitaminas,73.69
Creme para as Mãos,Perfumaria,97.7
Fita Adesiva,Perfumaria,61.95
Lenços Umedecidos,Perfumaria,12.44
Escova de Cabelo,Perfumaria,89.54
Lentes de Contato,Perfumaria,68.48
Band-aid,Perfumaria,16.1
Cotonetes,Perfumaria,94.38
Colírio,Remédios,6.75
Termômetro Digital,Perfumaria,65.03
Fraldas Descartáveis,Perfumaria,15.97
Paracetamol 500mg,Remédios,79.9
Vitamina C 1000mg,Vitaminas,20.11
Escova de Cabelo,Perfumaria,53.57
Band-aid,Perfumaria,16.42
Desodorante,Perfumaria,89.89
Gaze Esterilizada,Perfumaria,17.31
Máscara de Cílios,Perfumaria,63.52
Anti-inflamatório,Remédios,7.34
Lenços Umedecidos,Perfumaria,49.24
Escova de Dente,Perfumaria,20.64
Escova de Dente,Perfumaria,40.92
Protetor Solar,Perfumaria,73.64
Máscara de Cílios,Perfumaria,9.05
Cotonetes,Perfumaria,77.38
Fita Adesiva,Perfumaria,85.18
Creme Anti-idade,Perfumaria,13.53
Gaze Esterilizada,Perfumaria,85.75
Creme para as Mãos,Perfumaria,72.58
Gaze Esterilizada,Perfumaria,84.42
Antiácido,Remédios,71.35
Protetor Solar,Perfumaria,7.09
Creme Hidratante,Perfumaria,59.61
Pomada para Assaduras,Perfumaria,8.43
Pasta de Dente,Perfumaria,9.35
Colírio,Remédios,70.5
Termômetro Digital,Perfumaria,68.95
Antifúngico,Remédios,42.77
Aspirina 500mg,Remédios,88.15
Aspirina 500mg,Remédios,37.61
Escova de Cabelo,Perfumaria,29.21
Roupas de Compressão,Perfumaria,45.46
Suplemento de Cálcio,Vitaminas,61.53
Fraldas Descartáveis,Perfumaria,76.09
Antibiótico,Remédios,69.17
Lenços Umedecidos,Perfumaria,92.22
Protetor Solar,Perfumaria,86.02
Colírio,Remédios,58.82
Lenços Umedecidos,Perfumaria,13.59
Pomada para Assaduras,Perfumaria,94.78
Pomada para Artrose,Remédios,71.1
Desodorante,Perfumaria,58.66
Suplemento de Cálcio,Vitaminas,61.71
Aspirina 500mg,Remédios,91.07
Xarope para Tosse,Remédios,63.11
Creme Anti-idade,Perfumaria,94.01
Gaze Esterilizada,Perfumaria,39.13
Lentes de Contato,Perfumaria,19.26
Gel Antisséptico,Perfumaria,13.57
Termômetro Digital,Perfumaria,58.43
Gel Antisséptico,Perfumaria,76.12
Antibiótico,Remédios,37.74
Máscara de Cílios,Perfumaria,77.85
Antifúngico,Remédios,63.87
Gaze Esterilizada,Perfumaria,52.9
Máscara de Cílios,Perfumaria,73.11
Suplemento de Vitamina D,Vitaminas,48.77
Gaze Esterilizada,Perfumaria,88.28
Máscara de Cílios,Perfumaria,73.77
Fita Adesiva,Perfumaria,22.77
Gel Antisséptico,Perfumaria,29.83
Fraldas Descartáveis,Perfumaria,97.11
Suplemento de Cálcio,Vitaminas,88.91
Pasta de Dente,Perfumaria,33.58
Fraldas Descartáveis,Perfumaria,13.51
Colírio,Remédios,59.28
Creme Hidratante,Perfumaria,91.02
Anti-inflamatório,Remédios,41.61
Antiácido,Remédios,84.65
Suplemento de Cálcio,Vitaminas,5.19
Anti-inflamatório,Remédios,16.15
Escova de Dente,Perfumaria,99.47
Anti-inflamatório,Remédios,7.76
Suplemento de Ômega 3,Vitaminas,78.62
Pomada para Assaduras,Perfumaria,7.59
Inalador,Remédios,48.32
Desodorante,Perfumaria,30.15
Termômetro de Infravermelho,Perfumaria,62.59
Lenços Umedecidos,Perfumaria,6.39
Suplemento de Magnésio,Vitaminas,70.53
Cotonetes,Perfumaria,44.85
Máscara de Cílios,Perfumaria,62.36
Escova de Cabelo,Perfumaria,10.12
Termômetro Digital,Perfumaria,68.93
Desodorante,Perfumaria,33.19
Colírio,Remédios,57.96
Lenços Umedecidos,Perfumaria,41.69
Paracetamol 500mg,Remédios,93.88
Lentes de Contato,Perfumaria,17.47
Termômetro Digital,Perfumaria,8.7
Lentes de Contato,Perfumaria,13.81
Compressa Fria,Perfumaria,35.68
Suplemento de Magnésio,Vitaminas,14.56
Fita Adesiva,Perfumaria,97.81
Anti-inflamatório,Remédios,56.93
Gel Antisséptico,Perfumaria,63.0
Suplemento de Cálcio,Vitaminas,68.8
Lentes de Contato,Perfumaria,25.64
Pasta de Dente,Perfumaria,57.28
Pomada Antisséptica,Perfumaria,5.19
Máscara de Cílios,Perfumaria,53.93
Antibiótico,Remédios,29.92
Lentes de Contato,Perfumaria,64.1
Compressa Fria,Perfumaria,92.51
Suplemento de Vitamina D,Vitaminas,42.05
Antialérgico,Remédios,27.21
Vitamina C 1000mg,Vitaminas,52.38
Ibuprofeno 200mg,Remédios,18.6
Escova de Dente,Perfumaria,73.01
Xarope para Tosse,Remédios,33.78
Protetor Solar,Perfumaria,81.46
Termômetro Digital,Perfumaria,31.0
Roupas de Compressão,Perfumaria,19.09
Escova de Cabelo,Perfumaria,93.41
Xarope para Tosse,Remédios,7.33
Máscara de Cílios,Perfumaria,5.66
Colágeno em Pó,Vitaminas,12.89
Lentes de Contato,Perfumaria,57.72
Soro Fisiológico,Remédios,57.03
Suplemento de Ômega 3,Vitaminas,60.91
Protetor Solar,Perfumaria,12.23
Paracetamol 500mg,Remédios,15.87
Pomada Antisséptica,Perfumaria,76.05
Compressa Fria,Perfumaria,78.58
Compressa Fria,Perfumaria,25.82
Band-aid,Perfumaria,52.44
Colágeno em Pó,Vitaminas,88.25
Gaze Esterilizada,Perfumaria,93.93
Roupas de Compressão,Perfumaria,56.13
Protetor Solar,Perfumaria,54.87
Lenços Umedecidos,Perfumaria,55.8
Creme Hidratante,Perfumaria,26.6
Suplemento de Ômega 3,Vitaminas,12.38
Suplemento de Magnésio,Vitaminas,57.83
Termômetro Digital,Perfumaria,85.59
Soro Fisiológico,Remédios,28.84
Protetor Labial,Perfumaria,88.79
Antifúngico,Remédios,47.73
Antialérgico,Remédios,60.8
Creme Anti-idade,Perfumaria,99.46
Colírio,Remédios,23.8
Inalador,Remédios,93.31
Band-aid,Perfumaria,44.24
Anti-inflamatório,Remédios,47.79
Vitamina C 1000mg,Vitaminas,15.5
Escova de Cabelo,Perfumaria,88.84
Suplemento de Magnésio,Vitaminas,7.56
Suplemento de Ômega 3,Vitaminas,93.81
Termômetro de Infravermelho,Perfumaria,91.05
Escova de Cabelo,Perfumaria,22.92
Escova de Dente,Perfumaria,58.1
Fita Adesiva,Perfumaria,6.25
Paracetamol 500mg,Remédios,80.68
Ibuprofeno 200mg,Remédios,65.91
Gel Antisséptico,Perfumaria,38.84
Anti-inflamatório,Remédios,35.37
Termômetro Digital,Perfumaria,33.16
Escova de Dente,Perfumaria,59.52
Creme Hidratante,Perfumaria,43.26
Anti-inflamatório,Remédios,73.34
Band-aid,Perfumaria,61.25
Protetor Solar,Perfumaria,99.52
Máscara de Cílios,Perfumaria,49.7
Suplemento de Magnésio,Vitaminas,15.26
Escova de Cabelo,Perfumaria,88.53
Creme Hidratante,Perfumaria,58.53
Máscara de Cílios,Perfumaria,84.02
Inalador,Remédios,74.04
Band-aid,Perfumaria,67.23
Band-aid,Perfumaria,70.39
Creme Anti-idade,Perfumaria,17.36
Protetor Solar,Perfumaria,48.7
Suplemento de Ômega 3,Vitaminas,21.4
Colágeno em Pó,Vitaminas,77.89
Anti-inflamatório,Remédios,68.33
Colágeno em Pó,Vitaminas,73.41
Protetor Solar,Perfumaria,71.43
Escova de Cabelo,Perfumaria,43.94
Desodorante,Perfumaria,14.04
Escova de Dente,Perfumaria,16.62
Antibiótico,Remédios,79.62
Antiácido,Remédios,44.15
Lenços Umedecidos,Perfumaria,94.58
Aspirina 500mg,Remédios,42.83
Suplemento de Ômega 3,Vitaminas,80.48
Máscara de Cílios,Perfumaria,64.08
Protetor Solar,Perfumaria,29.18
Antiácido,Remédios,91.74
Colírio,Remédios,48.69
Paracetamol 500mg,Remédios,12.75
Creme Hidratante,Perfumaria,70.83
Pasta de Dente,Perfumaria,37.92
Creme Anti-idade,Perfumaria,6.94
Gaze Esterilizada,Perfumaria,13.98
Vitamina C 1000mg,Vitaminas,18.62
Escova de Dente,Perfumaria,16.47
Ibuprofeno 200mg,Remédios,28.48
Creme para as Mãos,Perfumaria,78.68
Ibuprofeno 200mg,Remédios,90.03
